NAME,ID,DESCRIPTION,position
Eere Dedede,61,"Lockhart settled in as the Braves"" regular second baseman in ‘96, after serving as a valuable = | i",position_player
Darrin Fletcher,62,"On 6-22-96, Fletcher tied a career high with four hits and added two ABI in a 14-2 win over the Expos. : ers 4",position_player
Andy Larkin,63,"After spending a full season at Class-AAA Charlotte in °9/, Larkin made his return to the a",pitcher
Matt Lawton,64,NA,position_player
Jose Jimenez,65,One of the young hurlers around whom the Cardinals ate building the foundation of their =),pitcher
2,66,"One of the most feared hitters in the American League, Mo Vaughn brings intensity, leadership, Se ieee",position_player
David Ortiz,67,"Ortiz, who had 31 homers and 124 RBI combined for three Twins farm teams in ‘3? || |. Cy",position_player
Mike Cameron,68,NA,position_player
Ron Gant,69,"Despite playing a shortened season, Ron Gant recorded some impressive numbers in 1999. By =| aun jp; =",position_player
Matt Mantei,70,NA,pitcher
Greg Wells,71,David Wells recorded a banner year in 1998 and established himself as not only one of the best = ‘Geen y,position_player
Chad Hernifnsen,72,NA,NA
Pedro Martinez,73,"The National League's ‘97 Cy Young Award winner, Martinez made his AL debut with the Red Sox in [ ee ae",pitcher
Orlando Cabrera,74,"A defensive gem, Cabrera can save the Expos some runs with his glove. He has great range athis = | = pe",position_player
Ismrel Uraldes,75,"With a 52-40 record and 3.23 ERA, Valdes has shown he canbe quite a valuable pitcher. AtG-foot- s 4 = 3",pitcher
Marlon Anderson,76,Marlon Anderson was named the best player in the Phillies minor league system in 1898 and =,position_player
Eee Eee,77,NA,position_player
Scott Service,78,oem oT jee |,pitcher
Rolando Arrojo,79,NA,pitcher
Shawn Green,80,"Green recorded a tremendous ‘98 season, becoming the first Blue Jay to collect more than 30) ane - a E",position_player
Mark Mcgwire,81,"On 8-20-98, McGwire set another of many records reached in 98 when he launched his 50th =|",position_player
Geoff Jenkins,82,"After dominating at Louisville (Class-AAA), Jenkins made a memorable debut for the Brewers. | i a “a 4",position_player
Alex Rodriguez,83,: : ng fates ‘ : ) — ene ee,position_player
Mark Grudzielanek,84,"Grudzielanek produces solid numbers for a shortstop, showing a little bit of power and good = 4 s oO",position_player
Curt Schilling,85,Schilling led the Majors in complete games (15) and innings (266.2). The Phillies’ hurler paced = | ies [ gon,position_player
Royce Clayton,86,Clayton enjoyed his mid-season change of scenery as he hit .262 with five home runs and 24 ABI i a ee a i,position_player
Justin Thompson,87,"Thompson produced another fine year in 1998 as he led the Tigers in innings pitched, strikeouts, = | fi. ga",pitcher
Roberto Alomar,88,"Roberto Alomar joins his brother, Sandy, in the Indians lineup in 1998. One of the 26 active Majar < ao |",position_player
3,89,NA,NA
Hte Mee,90,NA,NA
Btu Airwcd,91,NA,NA
Srbn Weg,92,NA,NA
4,93,NA,NA
Bscrt Isg,94,NA,NA
Ben Ford,95,NA,NA
Trm Retdieg,96,NA,NA
Mike Macfarlane,97,"Macfarlane gives the youthful Athletics some veteran depth bebind the plate. Aptly capable of Ne y ,",position_player
5,98,NA,pitcher
Bobby Hughes,99,NA,position_player
6,100,"Edmonds finished his fifth full season as an Angel with career-highs in games played, aver- | a A ,",position_player
Ramon Hernandez,101,NA,NA
Joe Girardi,102,Girardis veteran leadership behind the plate proved quite valuable for the Yankees in “96. yO oe |,position_player
Scott Spiezio,103,"Spiezia improved his batting average 16 points in “98, coming in at a .259 clip. He hit nine home a _ {",position_player
Tony Phillips,104,The productive Phillips gives the Oakland lineup a spark at the top. He has good speed and A’) Se ue ora: |,position_player
Charles Nagy,105,Nagy anchored the Cleveland pitching staff as its top winner and leader in innings pitched = fy ase Ps,pitcher
Rondell White,106,"White batted .300 with 16 stolen bases, 17 long balls and 58 ABI. He had a 14-game hitting ~~ Pee Se",position_player
Bernie Williams,107,NA,position_player
Tino Martinez,108,Martinez posted his fourth-straight season with at least 25 homers and 110 ABI. He became only — ae a I,position_player
Juan Encarnacion,109,2 Se = - 2 oe 2 Se Zi ae ee ae,position_player
Esteban Yan,110,"Quietly developing-into a top-notch pitcher in a young and improving Tampa Bay staff, Yan — : a 7",pitcher
Kevin Brown,111,NA,pitcher
Darren Bragg,112,"After signing with the Cardinals in January of “89, Bragg will start his first National League sea- a Clee",position_player
Heathcliff Slocumb,113,"Over the course of his final 31 appearances of the ‘98 season, Slocum compiled a 2.05 = | > a: a",pitcher
Ryan Christenson,114,"While Ben Grieve was the rookie outfielder getting all the attention in ‘38, the Athletics had =| es |",position_player
Stan Javier,115,"Javier stole more than 20 bases for the fifth time in his career, and fourth time in the last five | as ae",position_player
Jamie Moyer,116,"Seattle’s top starter in “98, Moyer finished third in the American League in innings pitched aa oe a ae <=",pitcher
Tony Gwynn,117,"Gwynn topped the 300 barrier for the 16th straight season, leading the Padres with a.321 mark. rs os ADRES. ee, |",position_player
Derek Bell,118,"The Astros’ Bell enjoyed a banner year in ‘98, setting personal-bests in hits, runs scored, — | gall » e . ,",position_player
7,119,Leiter ranked third in the National League in ERA during a stellar ‘98 season. He also was sev- | as =,pitcher
Corey Koskie,120,Kaskie spent most of 1998 season at class-AA A Salt Lake where he was named the Twins’ .,position_player
Eeo Eeo,121,NA,position_player
Pete Harnisch,122,"Bouncing back strong to enjy his finest season since ‘93, Harnisch held National League oppo- =| 2B Be",pitcher
Braden Looper,123,Braden Looper looks to have made the transition from starter to reliever with relative ease. oe > 3,NA
Bobby Higginson,124,"Tying for the Tigers’ team-lead in games played in ‘S8, Higginson made the most of the opportu- | sg i. Cee |",position_player
8,125,NA,pitcher
Kevin Jordan,126,"Jordan can play first, second or third base, and has done so with Philadelphia during the past in, .",position_player
Kenny Lofton,127,NA,position_player
Mike Cameron,128,A 1997 AL Rookie of the Year candidate after leading all American League rookies in walks =| Fog Ps =e :,position_player
Reggie Sanders,129,Reggie Sanders makes the move out West to the defending National League Champion San Diego ~ <a at J,position_player
